,Topics,Authors,Date,Description
666,"Personnel and payroll management: a guide for the comptroller 
","Lofink, Raymond K.",1990-06,"This project was undertaken to help satisfy a desire of the researcher to learn more about a Middle Eastern country- deserving much attention today, Iran. His Imperial Majesty Mohammed Reza Shah Pahlavi is the major actor ..."
667,"SIMULINK modeling of a marine autopilot for TSSE ship designs 
","Poor, Christopher A.",1996-09,"This thesis examines the current waste paper recycling program at the Naval Postgraduate School, Monterey.  the thesis evaluates the costs and benefits of the existing recycling program and a new revised waste paper recycling ..."
668,"Quasi-static stability concepts and application of the longitudinal motion of an aircraft 
","Bergstedt, W.C.",1952-06,no description
669,"His Imperial Majesty Mohammed Reza Pahlavi Shahanshah, Aryamehr : an operational code. 
","Sitz, William W.",1975,Team Building creates a working atmosphere where characteristics are developed that enable the team to be effective. Construction projects that have successful safety programs have many of the same characteristics of ...
670,"A cost-benefit analysis for revision and reimplementation of the office paper recycling program at the Naval Postgraduate School, Monterey 
","Brown, Edward Walter",1992-12,no description
671,"Heat budget parameterization for the FNWC primitive equation model using data for 16 January 1974. 
","Spaeth, Warren Theodore",1975,no description
672,"The effect of team building practices on safety performance 
","Sykes, Marshall T.",1998,Relative vorticity fields calculated from the U. S. Navy operational Global Band Analysis are used to relate synoptic and storm parameters to the track of tropical cyclones in the western North Pacific Ocean. In this ...
673,"Laser damage to spherical targets. 
","Stephenson, Charles Otto.",1985,no description
674,"A branch and bound algorithm for integer and mixed-integer linear programs. 
","Missal, Joseph Bannan",1969,The latest Quadrennial Defense Review (QDR) determined that the Department of Defense must reduce the amount of money it spends on infrastructure to recapitilize the armed forces. The QDR and the General Accounting Office ...
675,"Synoptic patterns related to tropical cyclone recurvature/ 
","Sherman, Brett T.",1988,A synoptic investigation employing quasi-Lagrangian diagnostic techniques was conducted for a North Atlantic Ocean polar flow undergoing a period or rapid cyclogenesis.  The polar flow was of relatively small horizontal ...
676,"Oceanographic investigation of the east Greenland polar front in autumn. 
","Perdue, William F.",1982,"This study examines additive manufacturing and describes the potential impact it could have on Army logistics, specifically contingency resupply operations. We research the three primary methods of additive manufacturing: ..."
677,"A study of the feasibility and benefits of converting certain fleet support community billets from military to civilian 
","FitzPatrick, Eric L.",1998-03,The current Department of the Navy (DoN) system development and acquisition system has documented instances of programs failing to detect critical interoperability failures prior to operational level testing. The authors ...
678,"A quasi-lagrangian diagnostics investigation of rapid cyclogenesis in a polar air system 
","Cook, William A.",1983-09,"This study analyzes the Marine Corps reenlistment process and the relationship between a Marine's expiration of active service (EAS), reenlistment request submission month, and submission timeline on the quality of first-term ..."
679,"Analysis of the potential impact of additive manufacturing on Army logistics 
","Zimmerman, Brock A.; Allen, Ellis E., III",2013-12,no description
680,"Proposed interoperability readiness level assessment for mission critical interfaces during Navy acquisition 
","Cavolowsky, Mark; Foley, Kyle; Garcia, Jesus; Gorospe, John; Guerao, Alex; Hawley, Eric; Holt, Janet; Phan, Tien; Pimsarn, Chirana; Possehl, Steven; Rogers, Peggy; Tegtmeyer, Steve; Thrift, Michael; Trinh, Phong",2010-12,no description
681,"U.S. Marine Corps enlisted retention: an analysis of stakeholder incentives for the retention of tier 1 first-term Marines 
","Cole, Alexandra L.",2014-03,This thesis examines the transition of the Ukrainian Navy from the Soviet Union Black Sea Fleet (BSF) to a national navy and its need for reform to survive. The settlement of the BSF revolved around three central issues: ...
682,"A religious education program for a United States Naval installation. 
","Reaves, James Edward",1950-05,"The results of an experiment to test the utility of satellite-observed
data for enhancing the accuracy and detail of numerical analyses and its
effect on the attendant primitive equation (PE) prognoses is presented.
The ..."
683,"Effects of lower tire pressusre on frost weakened roads. 
","Sweet, Brian Robert.",1994,"The thermal structure of the ocean, especially the uppermost mixed
layer, greatly affects sonar ranges. In this paper, similarity theory
is applied to the problem of forecasting the depth of the mixed layer
during the ..."
684,"Ukrainian naval reform: required for survival 
","Kessler, George Albert",2001-06,"This thesis applies time-frequency transformations to radar signals. Specifically, it considers the feasibility of applying time-frequency transformations to extract the intra-pulse modulation parameters of radar signals. ..."
685,"Experimental use of satellite-derived data in numerical analysis and the effect on a primitive equation prediction scheme 
","Mantei, Thomas Joseph; Workman, Charles Edwin",1971-12,no description
686,"Application of similarity theory to forecasting the mixed-layer depth of the ocean 
","McDonnell, John R.",1964,no description
687,"Feature extraction of intra-pulse modulated radar signals using time-frequency analysis 
","Moraitakis, Ioannis.",1999-09,This thesis investigates linear state space modeling of single main rotor helicopters culminating in a computer program that can be used for 1) stability and control analysis for any single main rotor helicopter or 2) ...
